총괄표제부_PK,대장구분코드,시군구코드,법정동코드,번,지,건물명,대지위치,도로명대지위치,주용도코드,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,호수(호),총주차수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,연면적(㎡),대지면적(㎡),건축면적(㎡),용적률산정연면적(㎡),건폐율(%),용적률(%),사용승인일,생성일자
10251595,1,11710,11100,0037,0000,,서울특별시 송파구 방이동 37번지,서울특별시 송파구 오금로11길 21-20 (방이동),20000,자동차관련시설,0,0,2,0,0,2,117104169374,11101,0,00021,00020,320.26,381.6,107.44,0,28.16,49.58,,20220813
10251100521702,2,11710,11100,0049,0000,오르본 인투파크 오피스텔,서울특별시 송파구 방이동 49번지,,14000,오피스텔,0,0,2,0,180,97,,,0,00000,00000,9683.499,1011.8,606.4,8225.931,59.93,813,20181023,20220813
10251240,1,11710,11100,0053,0000,방이중학교,서울특별시 송파구 방이동 53번지,서울특별시 송파구 오금로11길 64 (방이동),10000,교육연구및복지시설,0,0,3,7,0,39,117104169374,11101,0,00064,00000,9575.46,14992.5,3157.58,9501.21,21.06,63.38,19850416,20230621
10251526,1,11710,11100,0070,0000,,서울특별시 송파구 방이동 70번지,,03000,제1종근린생활시설,0,1,2,0,0,0,,,0,00000,00000,1842.86,0,0,0,0,0,,20220813
10251110,1,11710,11100,0088,0000,방이동 88 업무시설 (서울올림픽기념국민체육진흥공단),서울특별시 송파구 방이동 88번지,서울특별시 송파구 올림픽로 424 (방이동),15000,관람집회시설| 근린생활시설| 숙박시설,0,0,6,0,0,980,117103123023,11104,0,00424,00000,86948.05,123492.3,17256.33,56392.01,13.9736,45.6644,,20220813
10251347,1,11710,11100,0088,0002,,서울특별시 송파구 방이동 88-2번지,서울특별시 송파구 올림픽로 424 (방이동),05000,공연장,0,0,19,0,0,1262,117103123023,11104,0,00424,00000,163178.96,656178.8,74770.28,124960.77,11.39,19.04,,20220813
10251527,1,11710,11100,0088,0003,,서울특별시 송파구 방이동 88-3번지,서울특별시 송파구 올림픽로 424 (방이동),05000,문화및집회시설,0,0,5,0,0,0,117103123023,11104,0,00424,00000,4050.87,0,0,0,0,0,,20250912
10251100237017,1,11710,11100,0088,0010,,서울특별시 송파구 방이동 88-10번지,,14000,빗물펌프장,0,0,2,0,0,0,,,0,00000,00000,3020.23,65028.6,2675.72,3020.23,4.11,4.64,,20220813
10251248,1,11710,11100,0088,0014,서울체육고등학교,서울특별시 송파구 방이동 88-14번지,서울특별시 송파구 강동대로 232 (방이동),10000,교육연구시설,0,0,13,6,0,0,117102123001,11102,0,00232,00000,29478.64,66100,13174.57,27527.36,19.93,41.65,20050711,20220813
10251425,1,11710,11100,0088,0015,한국체육대학교,서울특별시 송파구 방이동 88-15번지,서울특별시 송파구 양재대로 1239 (방이동),10000,,0,0,13,0,0,420,117102000006,11102,0,01239,00000,91938.708,111902.3,24200.695,74033.188,21.63,66.16,,20240725
10251100226955,1,11710,11100,0088,0021,,서울특별시 송파구 방이동 88-21번지,서울특별시 송파구 올림픽로 424 (방이동),05000,문화및집회시설|제2종근린생활시설|세계평화의문,0,0,2,0,0,0,117103123023,10202,0,00424,00000,14206.44,0,0,0,0,0,,20220813
10251534,2,11710,11100,0089,0000,,서울특별시 송파구 방이동 89번지,서울특별시 송파구 양재대로 1218 (방이동),02000,공동주택,5540,0,122,0,0,0,117102000006,11102,0,01218,00000,851634243,0,0,0,0,0,,20220813
