관리건축물대장PK,관리상위건축물대장PK,대장구분코드,시군구코드,법정동코드,번,지,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,생성일자
10251100213841,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251201
10251100217251,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100214266,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250623
10251100215562,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20231130
10251100217259,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100211638,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251125
10251100211731,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20240119
10251100211837,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250827
10251100211890,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250618
10251100212044,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100212257,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250516
10251100213029,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213134,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250418
10251100213319,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250418
10251100213418,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250715
10251100213517,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250717
10251100213995,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251031
10251100214161,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250418
10251100214472,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251014
10251100214579,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20230816
10251100214632,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250709
10251100214669,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20221107
10251100214784,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100215871,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100216073,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20230511
10251100216170,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20251121
10251100216255,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100216322,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250320
10251100216423,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20221202
10251100216480,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100216569,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250827
10251100216773,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250808
10251100216862,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250716
10251100216948,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20230710
10251100217047,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217185,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217250,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217252,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217254,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217258,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217271,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100217272,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100213185,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250528
10251100215399,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100211780,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250827
10251100212366,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20220813
10251100215233,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250901
10251100215314,10251100211493,2,11710,10100,0019,0000,117103123023,10101,0,00099,00000,20250616
10251100179454,,1,11710,10100,0019,0001,117103123023,10101,0,00095,00000,20220813
10251100239906,,1,11710,10100,0019,0002,117103123006,10101,0,00021,00000,20250729
1025124039,,1,11710,10100,0019,0004,117103123006,10101,0,00011,00000,20221226
10251100225474,,1,11710,10100,0019,0006,117103123023,10101,0,00105,00000,20220813
10251100224535,,1,11710,10100,0019,0007,117103123023,10101,0,00107,00000,20220813
10251100190454,,2,11710,10100,0019,0008,117103123023,10101,0,00111,00000,20250828
10251100189982,,2,11710,10100,0019,0009,117103123023,10101,0,00119,00000,20250916
10251100181614,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250924
10251100186587,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241120
10251100182530,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251104
10251100182023,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241031
10251100186358,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241031
10251100183712,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183838,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250604
10251100186920,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100185633,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186924,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186939,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100184996,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20240510
10251100184591,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250618
10251100186935,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100184056,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250618
10251100186915,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183889,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241106
10251100184160,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20240313
10251100181430,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250121
10251100186913,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183938,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186927,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186936,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186941,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100182895,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250514
10251100184280,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251027
10251100186916,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186918,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100181538,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250502
10251100182366,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20231006
10251100184630,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250619
10251100184743,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250618
10251100185734,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241210
10251100183659,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20230818
10251100184489,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20240215
10251100182814,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250618
10251100186932,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100186922,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100181275,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20240821
10251100181964,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100185877,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250513
10251100181330,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100182260,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20230828
10251100181723,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250514
10251100183469,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100185315,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251125
10251100186926,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100182624,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20241031
10251100186490,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250304
10251100181485,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250807
10251100181824,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100182155,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20231121
10251100182313,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20251024
10251100182425,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250402
10251100182759,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100182998,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183057,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20240923
10251100183170,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20240822
10251100183255,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250616
10251100183410,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183537,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20220813
10251100183771,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20230612
10251100183993,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20231012
10251100184115,10251100181274,2,11710,10100,0022,0000,117103123023,10101,0,00135,00000,20250528
